Bureau of Justice Statistics,,,,,,,,
Filename: p10at01.csv,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/13/2011,,,,,,,,
,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
,,Number of prisoners,,,,,,
Region and jurisdiction,,2000,2009,2010,"Average annual change, 2000–2009",,"Percent change, 2009–2010",
U.S. total,,"1,391,261","1,617,970","1,612,395",1.7,%,-0.3,%
,Federal/a,"145,416","208,118","209,771",4.1,,0.8,
,State,"1,245,845","1,409,852","1,402,624",1.4,,-0.5,
Northeast,,"174,826","177,361","173,911",0.2,%,-1.9,%
,Connecticut/b,"18,355","19,716","19,321",0.8,,-2,
,Maine,"1,679","2,206","2,154",3.1,,-2.4,
,Massachusetts,"10,722","11,316","11,312",0.6,,0,
,New Hampshire,"2,257","2,731","2,761",2.1,,1.1,
,New Jersey,"29,784","25,382","25,007",-1.8,,-1.5,
,New York,"70,199","58,687","56,656",-2,,-3.5,
,Pennsylvania,"36,847","51,429","51,264",3.8,,-0.3,
,Rhode Island/b,"3,286","3,674","3,357",1.2,,-8.6,
,Vermont/b,"1,697","2,220","2,079",3,,-6.4,
Midwest,,"237,378","261,615","263,428",1.1,%,0.7,%
,Illinois,"45,281","45,161","48,418",0,,7.2,
,Indiana,"20,125","28,808","28,028",4.1,,-2.7,
,Iowa,"7,955","8,813","9,455",1.1,,7.3,
,Kansas,"8,344","8,641","9,051",0.4,,4.7,
,Michigan,"47,718","45,478","44,113",-0.5,,-3,
,Minnesota,"6,238","9,986","9,796",5.4,,-1.9,
,Missouri/c,"27,543","30,563","30,623",1.2,,0.2,
,Nebraska,"3,895","4,474","4,587",1.6,,2.5,
,North Dakota,"1,076","1,486","1,487",3.7,,0.1,
,Ohio,"45,833","51,606","51,712",1.3,,0.2,
,South Dakota,"2,616","3,434","3,434",3.1,,0,
,Wisconsin,"20,754","23,165","22,724",1.2,,-1.9,
South,,"561,214","653,819","654,142",1.7,%,0,%
,Alabama,"26,332","31,874","31,764",2.1,,-0.3,
,Arkansas,"11,915","15,208","16,204",2.7,,6.5,
,Delaware/b,"6,921","6,794","6,598",-0.2,,-2.9,
,District of Columbia,"7,456",~,~,~,,~,
,Florida,"71,319","103,915","104,306",4.3,,0.4,
,Georgia,"44,232","56,986","56,432",2.9,,-1,
,Kentucky,"14,919","21,638","20,544",4.2,,-5.1,
,Louisiana,"35,207","39,780","39,445",1.4,,-0.8,
,Maryland,"23,538","22,255","22,645",-0.6,,1.8,
,Mississippi,"20,241","21,482","21,067",0.7,,-1.9,
,North Carolina,"31,266","40,529","40,116",2.9,,-1,
,Oklahoma,"23,181","26,397","26,252",1.5,,-0.5,
,South Carolina,"21,778","24,288","23,578",1.2,,-2.9,
,Tennessee,"22,166","26,965","27,451",2.2,,1.8,
,Texas,"166,719","171,249","173,649",0.3,,1.4,
,Virginia,"30,168","38,092","37,410",2.6,,-1.8,
,West Virginia,"3,856","6,367","6,681",5.7,,4.9,
West,,"272,427","317,057","311,143",1.7,%,-1.9,%
,Alaskab,"4,173","5,285","5,597",2.7,,5.9,
,Arizona/c,"26,510","40,627","40,130",4.9,,-1.2,
,California,"163,001","171,275","165,062",0.6,,-3.6,
,Colorado,"16,833","22,795","22,815",3.4,,0.1,
,Hawaii/b,"5,053","5,891","5,912",1.7,,0.4,
,Idaho,"5,535","7,400","7,431",3.3,,0.4,
,Montana,"3,105","3,605","3,716",1.7,,3.1,
,Nevada,"10,063","12,482","12,653",2.4,,1.4,
,New Mexico,"5,342","6,448","6,659",2.1,,3.3,
,Oregon,"10,580","14,403","14,014",3.5,,-2.7,
,Utah,"5,637","6,538","6,807",1.7,,4.1,
,Washington,"14,915","18,233","18,235",2.3,,0,
,Wyoming,"1,680","2,075","2,112",2.4,,1.8,
"~Not applicable.  As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections centers and juveniles held in contract facilities.,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
c/Prison population based on custody counts.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
