Bureau of Justice Statistics,,,,,,,,,
Filename: p10at23.csv,,,,,,,,,
"Appendix Table 23. Reported state and federal prison capacities, December 31, 2010 ",,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 01/10/2012,,,,,,,,,
,,,,,,,,,
"Appendix Table 23. Reported state and federal prison capacities, December 31, 2010 ",,,,,,,,,
Region and jurisdiction,,Type of capacity measure,,,,Custody population as a percent of—,,,
,,Rated,Operational,Design,,Highest capacitya,Lowest capacity/a,,
,Federal,"126,863",…,…,,136,%,136,%
Northeast,,,,,,,,,
,Connecticut/b,…,…,…,,…,%,…,%
,Maine,"2,339","2,133","2,339",,84,,92,
,Massachusetts,…,…,"8,029",,139,,139,
,New Hampshire,…,"2,281","1,945",,115,,134,
,New Jersey,…,"22,503","16,152",,96,,134,
,New York,"57,505","58,546","56,590",,96,,100,
,Pennsylvania,"43,837","43,837","43,837",,107,,107,
,Rhode Island/c,"4,283","4,273","4,028",,74,,78,
,Vermont,"1,613","1,613","1,322",,94,,115,
Midwest,,,,,,,,,
,Illinois,"33,700","33,700","29,791",,144,%,163,%
,Indiana,…,"29,574",…,,83,,83,
,Iowa,…,…,"7,209",,131,,131,
,Kansas,"9,054",…,…,,100,,100,
,Michigan/c,"45,281","44,420",…,,102,,104,
,Minnesota,…,"9,099",…,,103,,103,
,Missouri/c,…,"31,423",…,,97,,97,
,Nebraska/c,…,"3,969","3,175",,116,,145,
,North Dakota/c,"1,044",991,"1,044",,136,,143,
,Ohio,"38,389",…,…,,127,,127,
,South Dakota/c,…,"3,523",…,,96,,96,
,Wisconsin/c,…,…,"17,596",,125,,125,
South,,,,,,,,,
,Alabama/c,…,…,"13,403",,196,%,196,%
,Arkansas,"14,025","14,025","13,461",,101,,105,
,Delaware/c,"6,378","5,210","4,161",,100,,153,
,Florida,…,"105,814",…,,96,,96,
,Georgia/e,"58,763","54,137",…,,90,,98,
,Kentucky,"13,902","13,902","14,237",,87,,89,
,Louisiana/e,"19,008","20,333",…,,108,,115,
,Maryland,…,"23,016",…,,99,,99,
,Mississippi/e,…,"24,236",…,,46,,46,
,North Carolina,…,"41,705","35,756",,97,,113,
,"Oklahoma/c,e","25,352","25,352","25,352",,95,,95,
,South Carolina,…,"24,319",…,,95,,95,
,Tennessee,"20,946","20,498",…,,71,,73,
,Texas/d,"163,381","159,396","163,381",,86,,89,
,Virginia/c,"32,921",…,…,,92,,92,
,West Virginia,"4,304","5,114","4,304",,99,,118,
West,,,,,,,,,
,Alaska,"3,058","3,206",…,,122,%,128,%
,Arizona/c,"37,089","43,011","37,089",,81,,94,
,California,…,"149,624","84,181",,110,,196,
,Colorado/c,…,"15,032","13,065",,121,,140,
,Hawaii,…,"3,327","2,291",,101,,147,
,"Idaho/c,e","7,028","6,677","7,028",,103,,108,
,Montana/d,…,"1,679",…,,97,,97,
,Nevada,/,/,/,,/,,/,
,New Mexico/e,"6,139","7,123","6,128",,53,,61,
,Oregon,/,/,/,,/,,/,
,Utah,…,"6,661","6,901",,79,,82,
,Washington,"16,420","17,801","17,801",,96,,104,
,Wyoming,"2,381","2,381","2,221",,79,,84,
...Data not available. ,,,,,,,,,
/Not reported.,,,,,,,,,
"a/Population counts are based on the number of inmates held in facilities operated by the jurisdiction. Excludes inmates held in local jails, in other states, or in private facilities.",,,,,,,,,
b/Connecticut no longer reports capacity because of a law passed in 1995.,,,,,,,,,
"c/Capacity definition differs from BJS definition, see NPS Jurisdiction Notes.",,,,,,,,,
d/Excludes capacity of county facilities and inmates housed in them.,,,,,,,,,
e/Includes capacity of private and contract facilities and inmates housed in them.,,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,,
