Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p19t04.csv,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2018 and 2019",,,,,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2018 and 2019",,,,,,,,,,,,,,,
,,2018,,,,2019,,,,"Percent change, 2018-2019",,,,,
State/federal,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total/a,"1,413,370","1,309,194","104,176",,"1,380,427","1,279,079","101,348",,-2.3,%,-2.3,%,-2.7,%
Federal/b,,"163,653","152,411","11,242",,"158,498","147,422","11,076",,-3.1,%,-3.3,%,-1.5,%
State/a,,"1,249,717","1,156,783","92,934",,"1,221,929","1,131,657","90,272",,-2.2,%,-2.2,%,-2.9,%
,Alabama,"20,473","19,097","1,376",,"20,595","19,192","1,403",,0.6,,0.5,,2,
,Alaska/c,"1,939","1,852",87,,"1,782","1,700",82,,-8.1,,-8.2,,-5.7,
,Arizona,"40,426","36,558","3,868",,"40,951","36,847","4,104",,1.3,,0.8,,6.1,
,Arkansas,"17,795","16,393","1,402",,"17,713","16,156","1,557",,-0.5,,-1.4,,11.1,
,"California/d,e","127,417","121,700","5,717",,"122,417","116,929","5,488",,:,,:,,:,
,Colorado/f,"20,254","18,230","2,024",,"19,785","17,866","1,919",,-2.3,,-2,,-5.2,
,Connecticut/c,"9,008","8,526",482,,"8,751","8,232",519,,-2.9,,-3.4,,7.7,
,Delaware/c,"3,985","3,796",189,,"3,735","3,568",167,,-6.3,,-6,,-11.6,
