Bureau of Justice Statistics,,,,,,,,
Filename: p0404,,,,,,,,
"Table 4: Sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2003, and 2004",,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  10/18/05,,,,,,,,

"Table 4. Sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2003, and 2004",,,,,,,,


Region and jurisdiction,2004,2003,1995,"Percent change, 2003-2004",,"Average annual change, 1995-04/a",,"Incarceration rate, 2004/b"
U.S. Total,"1,433,793","1,408,361","1,085,022",1.8,%,3.1,%,486
,,,,,,,,
Federal,"159,137","151,919","83,663",4.8,,7.4,,54
State,"1,274,656","1,256,442","1,001,359",1.4,,2.7,,432
,,,,,,,,
Northeast,"161,121","163,494","155,030",-1.5,%,0.4,,295
Connecticut,"13,240","13,587","10,419",-2.6,,2.7,,377
Maine,"1,961","1,951","1,326",0.5,,4.4,,148
Massachusetts/c,"8,688","8,814","10,427",-1.4,,-2.0,,232
New Hampshire,"2,448","2,434","2,015",0.6,,2.2,,187
New Jersey,"26,757","27,246","27,066",-1.8,,-0.1,,306
New York,"63,751","65,198","68,486",-2.2,,-0.8,,331
Pennsylvania,"40,931","40,880","32,410",0.1,,2.6,,329
Rhode Island,"1,894","1,983","1,833",-4.5,,0.4,,175
Vermont,"1,451","1,401","1,048",3.6,,3.7,,233
,,,,,,,,
Midwest,"248,896","246,583","192,177",0.9,%,2.9,,378
Illinois/d,"44,054","43,418","37,658",1.5,,1.8,,346
Indiana,"23,939","23,007","16,046",4.1,,4.5,,383
Iowa/d,"8,525","8,546","5,906",-0.2,,4.2,,288
Kansas/d,"8,966","9,132","7,054",-1.8,,2.7,,327
Michigan,"48,883","49,358","41,112",-1.0,,1.9,,483
Minnesota,"8,758","7,865","4,846",11.4,,6.8,,171
Missouri,"31,061","30,275","19,134",2.6,,5.5,,538
Nebraska,"4,038","3,976","3,006",1.6,,3.3,,230
North Dakota,"1,238","1,147",544,7.9,,9.6,,195
Ohio/d,"44,806","44,778","44,663",0.1,,0.0,,391
South Dakota,"3,088","3,016","1,871",2.4,,5.7,,399
Wisconsin,"21,540","22,065","10,337",-2.4,,8.5,,390
,,,,,,,,
South,"576,292","565,380","446,491",1.9,%,2.9,,540
Alabama,"25,257","27,272","20,130",-7.4,,2.6,,556
Arkansas,"13,668","13,244","8,520",3.2,,5.4,,495
Delaware,"4,087","4,122","3,014",-0.8,,3.4,,488
Florida,"85,530","82,003","63,866",4.3,,3.3,,486
Georgia,"51,089","47,200","34,168",8.2,,4.6,,574
Kentucky,"17,140","16,190","12,060",5.9,,4.0,,412
Louisiana,"36,939","36,047","25,195",2.5,,4.3,,816
Maryland,"22,696","23,230","20,450",-2.3,,1.2,,406
Mississippi,"19,469","19,569","12,251",-0.5,,5.3,,669
North Carolina,"30,683","29,394","27,914",4.4,,1.1,,357
Oklahoma/d,"22,913","22,448","18,151",2.1,,2.6,,649
South Carolina,"22,730","22,942","19,015",-0.9,,2.0,,539
Tennessee,"25,884","25,403","15,206",1.9,,6.1,,437
Texas/d,"157,617","156,534","127,766",0.7,,2.4,,694
Virginia,"35,564","35,067","27,260",1.4,,3.0,,473
West Virginia,"5,026","4,715","2,483",6.6,,8.2,,277
,,,,,,,,
West,"288,347","280,985","207,661",2.6,%,3.7,,425
Alaska,"2,632","2,629","2,042",0.1,,2.9,,398
Arizona,"31,106","29,722","20,291",4.7,,4.9,,534
California,"164,933","162,678","131,745",1.4,,2.5,,456
Colorado,"20,293","19,671","11,063",3.2,,7.0,,438
Hawaii,"4,174","4,167","2,590",0.2,,5.4,,329
Idaho,"6,375","5,737","3,328",11.1,,7.5,,454
Montana,"3,877","3,620","1,999",7.1,,7.6,,416
Nevada,"11,280","10,543","7,713",7.0,,4.3,,474
New Mexico,"6,111","5,934","3,925",3.0,,5.0,,318
Oregon,"13,167","12,695","6,515",3.7,,8.1,,365
Utah,"5,916","5,681","3,447",4.1,,6.2,,246
Washington,"16,503","16,036","11,608",2.9,,4.0,,264
Wyoming,"1,980","1,872","1,395",5.8,,4.0,,389

a/The average annual percentage increase from 1995 to 2003.,,,,,,,,
"b/Prisoners with sentences of more than 1 year per 100,000 residents. ",,,,,,,,
"c/The incarceration rate includes an estimated 6,200 inmates sentenced to more than 1 year but held in local jails or houses of corrections. ",,,,,,,,
d/Includes some inmates sentenced to 1 year or less. ,,,,,,,,
