Bureau of Justice Statistics,,,,,,,,,,,,,,
File name: p15t04.csv,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2014 and 2015",,,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2014 and 2015",,,,,,,,,,,,,,
,,2014,,,,2015,,,,"Percent change, 2014–2015",,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female
,U.S. total/a,"1,507,781","1,401,685","106,096",,"1,476,847","1,371,879","104,968",,-2.1,%,-2.1,%,-1.1
Federal/b,,"191,374","178,814","12,560",,"178,688","167,080","11,608",,-6.6,%,-6.6,%,-7.6
State/a,,"1,316,407","1,222,871","93,536",,"1,298,159","1,204,799","93,360",,-1.4,%,-1.5,%,-0.2
,Alabama,"30,766","28,324","2,442",,"29,762","27,329","2,433",,-3.3,,-3.5,,-0.4
,"Alaska/c,d","2,075","1,921",154,,"2,261","2,086",175,,9.0,,8.6,,13.6
,Arizona,"40,175","36,625","3,550",,"40,952","37,314","3,638",,1.9,,1.9,,2.5
,Arkansas,"17,819","16,426","1,393",,"17,656","16,268","1,388",,-0.9,,-1.0,,-0.4
,California/c,"135,711","129,366","6,345",,"129,205","123,474","5,731",,-4.8,,-4.6,,-9.7
,Colorado,"20,646","18,738","1,908",,"20,041","18,199","1,842",,-2.9,,-2.9,,-3.5
,Connecticut/d,"11,735","11,098",637,,"11,220","10,643",577,,-4.4,,-4.1,,-9.4
,Delaware/d,"4,141","3,927",214,,"4,188","3,963",225,,1.1,,0.9,,5.1
,Florida,"102,870","95,567","7,303",,"101,424","94,481","6,943",,-1.4,,-1.1,,-4.9
,Georgia,"52,485","49,010","3,475",,"51,700","48,127","3,573",,-1.5,,-1.8,,2.8
,Hawaii/d,"3,663","3,354",309,,"3,769","3,414",355,,2.9,,1.8,,14.9
,"Idaho/c,e","8,039","7,013","1,026",,"7,255","6,327",928,,:,,:,,:
,Illinois/e,"48,278","45,390","2,888",,"46,240","43,565","2,675",,:,,:,,:
