Bureau of Justice Statistics,,,,,,,,
Filename: p09at01.csv,,,,,,,,
"Appendix table 1: Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
,,,,,,,,
"Appendix table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"1,391,261","1,609,759","1,613,740",1.8,%,0.2,%
,Federal,"145,416","201,280","208,118",4.1,,3.4,
,State,"1,245,845","1,408,479","1,405,622",1.5,,-0.2,
Northeast,,"174,826","178,642","177,361",0.3,%,-0.7,%
,Connecticut/a,"18,355","20,661","19,716",1.5,,-4.6,
,Maine,"1,679","2,195","2,206",3.4,,0.5,
,Massachusetts,"10,722","11,408","11,316",0.8,,-0.8,
,New Hampshire/b,"2,257","2,702","2,731",2.3,,1.1,
,New Jersey,"29,784","25,953","25,382",-1.7,,-2.2,
,New York,"70,199","60,347","58,687",-1.9,,-2.8,
,Pennsylvania,"36,847","49,215","51,429",3.7,,4.5,
,Rhode Island/a,"3,286","4,045","3,674",2.6,,-9.2,
,Vermont/a,"1,697","2,116","2,220",2.8,,4.9,
Midwest,,"237,378","264,314","261,603",1.4,%,-1,%
,Illinois,"45,281","45,474","45,161",0.1,,-0.7,
,Indiana,"20,125","28,322","28,808",4.4,,1.7,
,Iowa,"7,955","8,766","8,813",1.2,,0.5,
,Kansas,"8,344","8,539","8,641",0.3,,1.2,
,Michigan,"47,718","48,738","45,478",0.3,,-6.7,
,Minnesota,"6,238","9,910","9,986",6,,0.8,
,Missouri,"27,543","30,186","30,563",1.2,,1.2,
,Nebraska,"3,895","4,520","4,474",1.9,,-1,
,North Dakota,"1,076","1,452","1,486",3.8,,2.3,
,Ohio,"45,833","51,686","51,606",1.5,,-0.2,
,South Dakota,"2,616","3,342","3,434",3.1,,2.8,
,Wisconsin,"20,754","23,379","23,153",1.5,,-1,
South,,"561,214","647,312","649,535",1.8,%,0.3,%
,Alabama,"26,332","30,508","31,874",1.9,,4.5,
,Arkansas,"11,915","14,716","15,208",2.7,,3.3,
,Delaware/a,"6,921","7,075","6,794",0.3,,-4,
,District of Columbia,"7,456",~,~,:,,:,
,Florida,"71,319","102,388","103,915",4.6,,1.5,
,Georgia/c,"44,232","52,719","53,371",2.2,,1.2,
,Kentucky,"14,919","21,706","21,638",4.8,,-0.3,
,Louisiana,"35,207","38,381","39,780",1.1,,3.6,
,Maryland,"23,538","23,324","22,255",-0.1,,-4.6,
,Mississippi,"20,241","22,754","21,482",1.5,,-5.6,
,North Carolina,"31,266","39,482","39,860",3,,1,
,Oklahoma,"23,181","25,864","26,397",1.4,,2.1,
,South Carolina,"21,778","24,326","24,288",1.4,,-0.2,
,Tennessee,"22,166","27,228","26,965",2.6,,-1,
,Texas,"166,719","172,506","171,249",0.4,,-0.7,
,Virginia,"30,168","38,276","38,092",3,,-0.5,
,West Virginia,"3,856","6,059","6,367",5.8,,5.1,
West,,"272,427","318,211","317,123",2,%,-0.3,%
,Alaska/a,"4,173","5,014","5,285",2.3,,5.4,
,Arizona/c,"26,510","39,589","40,627",5.1,,2.6,
,California,"163,001","173,670","171,275",0.8,,-1.4,
,Colorado,"16,833","23,274","22,795",4.1,,-2.1,
,Hawaii/a,"5,053","5,955","5,891",2.1,,-1.1,
,Idaho,"5,535","7,290","7,400",3.5,,1.5,
,Montana,"3,105","3,545","3,605",1.7,,1.7,
,Nevada,"10,063","12,743","12,482",3,,-2,
,New Mexico,"5,342","6,402","6,519",2.3,,1.8,
,Oregon,"10,580","14,167","14,403",3.7,,1.7,
,Utah,"5,637","6,552","6,533",1.9,,-0.3,
,Washington,"14,915","17,926","18,233",2.3,%,1.7,%
,Wyoming,"1,680","2,084","2,075",2.7,,-0.4,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
"b/Prison population for yearend 2008 is as of January 2, 2009.",,,,,,,,
c/Prison population based on custody counts.,,,,,,,,
