Bureau of Justice Statistics,,,,,,,,
Filename: p07at15.csv,,,,,,,,
"Appendix table 15. Reported state and federal prison capacities, December 31, 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 15. Reported state and federal prison capacities, December 31, 2007",,,,,,,,
,,Type of capacity measure,,,Custody population as a percent of— ,,,
Region and jurisdiction,,Rated,Operational,Design,Highest capacity/a,,Lowest capacity/a,
,Federal,"122,461",…,…,136,%,136,%
Northeast,,,,,,,,
,Connecticut/b,…,…,…,…,%,…,%
,Maine/c,"1,885","1,885","1,885",:,,:,
,Massachusetts,…,…,"7,875",141,,141,
,New Hampshire,"2,524","3,000","2,270",92,,122,
,New Jersey,…,"23,300","16,876",97,,134,
,New York,"60,242","61,390","57,768",102,,109,
,Pennsylvania,"41,692","41,692","41,692",107,,107,
,Rhode Island,"4,004","4,004","4,265",88,,94,
,Vermont,"1,732","1,732","1,371",94,,119,
Midwest,,,,,,,,
,Illinois/c,"33,971","33,971","59,959",:,%,:,%
,Indiana,…,"24,989",…,94,,94,
,Iowa,…,…,"7,413",117,,117,
,Kansas,"9,317",…,…,94,,94,
,Michigan,…,"51,343",…,98,,98,
,Minnesota,…,"7,807",…,103,,103,
,Missouri,…,"30,788",…,97,,97,
,Nebraska,…,"3,969","3,175",111,,139,
,North Dakota,"1,044",991,"1,044",133,,140,
,Ohio,"38,320",…,…,125,,125,
,South Dakota,…,"3,487",…,93,,93,
,Wisconsin/d,…,"17,383",…,131,,131,
South,,,,,,,,
,Alabama/e,…,"25,686","13,728",97,%,181,%
,Arkansas,"12,961","13,610","12,863",98,,103,
,Delaware,"7,103","6,757","5,319",100,,134,
,Florida/e,…,"95,241","72,556",91,,119,
,Georgia/f,…,"58,231",…,102,,102,
,Kentucky,…,"13,682","14,017",92,,95,
,Louisiana/f,"20,461","20,641",…,114,,115,
,Maryland,…,"23,155",…,99,,99,
,Mississippi/f,…,"22,725","22,725",77,,77,
,North Carolina/e,"33,359","38,512",…,99,,115,
,Oklahoma/f,"24,845","24,845","24,845",96,,96,
,South Carolina,…,"23,918",…,99,,99,
,Tennessee,"20,258","19,804",…,70,,71,
,Texas/d,"162,560","158,578","162,560",86,,88,
,Virginia,"32,765",…,…,96,,96,
,West Virginia,"4,135","5,015","4,135",98,,119,
West,,,,,,,,
,Alaska,"3,058","3,206",…,113,%,119,%
,Arizona,"29,119","39,690","34,474",75,,103,
,California,…,"165,409","82,936",101,,201,
,Colorado,…,"14,937","13,027",119,,137,
,Hawaii,…,"3,487","2,451",95,,136,
,Idaho/f,"6,348","6,031","6,348",111,,117,
,Montana/d,…,"2,441",…,119,,119,
,Nevada/c,"11,061","10,811","8,326",:,,:,
,New Mexico/f,…,"7,131","6,653",52,,56,
,Oregon,…,"13,188","13,188",101,,101,
,Utah,…,"6,650","6,886",75,,78
,Washington,"13,777","15,502","15,502",109,,123
,Wyoming,"1,511","1,436","1,428",86,,91
…Data not available. ,,,,,,,
/Not reported.,,,,,,,
:Not calculated.,,,,,,,
"a/Population counts are based on the number of inmates held in facilities operated by the jurisdiction. Excludes inmates held in local jails, in other states, or in private facilities.",,,,,,,
b/Connecticut no longer reports capacity because of a law passed in 1995.,,,,,,,
c/Capacity based on numbers reported in 2006. ,,,,,,,
d/Excludes capacity of county facilities and inmates housed in them.,,,,,,,
"e/Capacity definition differs from BJS definition, see Jurisdiction Notes.",,,,,,,
f/Includes capacity of private and contract facilities and inmates housed in them.,,,,,,,
