Bureau of Justice Statistics,,,,,,,,
Filename: p11at03.csv,,,,,,,,
"Appendix table 3. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, December 31, 2010 and 2011",,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/05/2012,,,,,,,,
 ,,,,,,,,
"Appendix table 3. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, December 31, 2010 and 2011",,,,,,,,
,,2010,,,,2011,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female
,U.S. total,500,948,66,,492,932,65
Federal/c,,61,117,8,,63,120,8
State,,441,835,59,,430,815,58
,Alabama,641,"1,219",96,,650,"1,235",99
,Alaska/d,386,672,77,,400,687,89
,Arizona/e,596,"1,093",104,,589,"1,084",100
,Arkansas,551,"1,041",78,,544,"1,032",73
,California,438,828,52,,394,748,42
,Colorado/f,449,814,81,,427,773,79
,Connecticut/d,372,725,36,,350,679,37
,"Delaware/d,e",438,860,41,,440,864,40
,Florida,550,"1,046",76,,538,"1,023",73
,Georgia,560,"1,070",72,,547,"1,040",74
,"Hawaii/d,g",288,514,60,,283,509,56
,Idaho,471,837,103,,486,860,111
,Illinois/h,377,721,45,,376,720,44
,Indiana,431,797,76,,442,821,75
,Iowa,307,570,49,,295,547,47
,Kansas,316,592,43,,324,605,47
,Kentucky,457,835,92,,478,862,107
,Louisiana,865,"1,659",103,,865,"1,662",102
,Maine,146,277,21,,147,278,21
,Maryland,383,760,30,,380,752,32
,Massachusetts/i,202,400,17,,206,406,17
,Michigan,447,872,37,,434,845,38
,Minnesota,184,346,24,,183,344,24
,Mississippi,685,"1,311",94,,690,"1,319",96
,Missouri,510,957,80,,512,958,84
,Montana,374,659,86,,367,651,81
,Nebraska,245,450,43,,244,452,38
,Nevada,463,846,72,,463,847,71
,New Hampshire,210,394,30,,198,375,25
,New Jersey/h,284,556,25,,270,528,24
,New Mexico,319,587,57,,328,602,59
,New York,291,577,22,,283,560,23
,North Carolina,369,711,43,,362,699,42
,North Dakota,219,381,53,,206,365,43
,Ohio/f,448,846,68,,441,833,66
,Oklahoma,649,"1,180",129,,631,"1,150",121
,Oregon,385,718,58,,372,693,57
,Pennsylvania,401,780,41,,402,781,42
,"Rhode Island/d,g",198,389,20,,196,390,15
,South Carolina,490,947,57,,473,916,54
,South Dakota,418,735,100,,426,744,106
,Tennessee,430,815,64,,443,832,73
,Texas,646,"1,206",95,,632,"1,178",94
,Utah,243,440,44,,242,439,43
,Vermont/d,263,503,31,,255,484,32
,Virginia/h,464,873,69,,469,884,68
,Washington/f,268,496,42,,259,479,40
,West Virginia,358,648,76,,366,661,79
,Wisconsin,385,733,42,,359,685,37
,Wyoming,373,651,83,,383,669,86
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,
a/Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials.,,,,,,,,
"b/Imprisonment rate is the number of prisoners under state or federal jurisdiction with a sentence of more than 1 year per 100,000 U.S. residents. Resident population estimates are from the U.S. Census Bureau for January 1 of the following year.",,,,,,,,
c/Jurisdiction counts include inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,
d/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
e/Prison jurisdiction population based on custody counts.,,,,,,,,
f/Includes some prisoners sentenced to 1 year or less.,,,,,,,,
g/Counts include dual jurisdiction cases where the inmate is currently housed in another jurisdiction’s facilities.,,,,,,,,
h/Includes some prisoners sentenced to 1 year.,,,,,,,,
i/The 2010-2011 imprisonment rates include prisoners sentenced to more than 1 year but held in local jails or houses of correction in the Commonwealth of Massachusetts. See NPS jurisdiction notes.,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2010–2011.",,,,,,,,
