Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p19t02.csv,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2018 and 2019",,,,,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2018 and 2019",,,,,,,,,,,,,,,
,,2018,,,,2019,,,,"Percent change, 2018-2019",,,,,
State/federal,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total/a,"1,464,385","1,353,595","110,790",,"1,430,805","1,322,850","107,955",,-2.3,%,-2.3,%,-2.6,%
Federal/b,,"179,898","167,372","12,526",,"175,116","162,787","12,329",,-2.7,%,-2.7,%,-1.6,%
State/a,,"1,284,487","1,186,223","98,264",,"1,255,689","1,160,063","95,626",,-2.2,%,-2.2,%,-2.7,%
,Alabama,"26,841","24,439","2,402",,"28,304","25,555","2,749",,5.5,,4.6,,14.4,
,Alaska/c,"4,380","4,001",379,,"4,475","4,049",426,,2.2,,1.2,,12.4,
,Arizona,"42,005","37,820","4,185",,"42,441","38,035","4,406",,1,,0.6,,5.3,
,Arkansas,"17,799","16,396","1,403",,"17,759","16,188","1,571",,-0.2,,-1.3,,12,
,California/d,"128,625","122,847","5,778",,"122,687","117,119","5,568",,:,,:,,:,
,Colorado,"20,372","18,347","2,025",,"19,785","17,866","1,919",,-2.9,,-2.6,,-5.2,
,Connecticut/c,"13,681","12,679","1,002",,"12,823","11,882",941,,-6.3,,-6.3,,-6.1,
,Delaware/c,"6,067","5,646",421,,"5,692","5,313",379,,-6.2,,-5.9,,-10,
