Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p13t04.csv,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2012 and 2013",,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2012 and 2013",,,,,,,,,,,,,,,
,,2012,,,,2013,,,,"Percent change, 2012–2013",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,"U.S. tota/la,b","1,511,497","1,410,208","101,289",,"1,516,879","1,412,745","104,134",,0.4,%,0.2,%,2.8,%
Federal/c,,"196,574","184,258","12,316",,"195,098","182,378","12,720",,-0.8,%,-1,%,3.3,%
"State/a,b",,"1,314,923","1,225,950","88,973",,"1,321,781","1,230,367","91,414",,0.5,%,0.4,%,2.7,%
,Alabama,"31,437","28,915","2,522",,"31,354","28,787","2,567",,-0.3,,-0.4,,1.8,
,"Alaska/b,d","2,974","2,690",284,,"2,682","2,426",256,,-9.8,,--,,--,
,Arizona,"38,402","35,065","3,337",,"39,062","35,675","3,387",,1.7,,1.7,,1.5,
,Arkansas/e,"14,615","13,567","1,048",,"17,159","15,840","1,319",,--,,--,,--,
,California,"134,211","128,180","6,031",,"135,981","129,684","6,297",,1.3,,1.2,,4.4,
,Colorado,"20,462","18,739","1,723",,"20,371","18,556","1,815",,-0.4,,-1,,5.3,
,Connecticut/d,"11,961","11,314",647,,"12,162","11,494",668,,1.7,,1.6,,3.2,
,Delaware/d,"4,129","3,913",216,,"4,112","3,879",233,,-0.4,,-0.9,,7.9,
,Florida,"101,930","94,945","6,985",,"103,028","95,757","7,271",,1.1,,0.9,,4.1,
,Georgia,"53,990","50,510","3,480",,"53,478","49,953","3,525",,-0.9,,-1.1,,1.3,
,Hawaii/d,"3,819","3,439",380,,"3,618","3,271",347,,-5.3,,-4.9,,-8.7,
,Idaho,"7,985","6,977","1,008",,"7,549","6,523","1,026",,-5.5,,-6.5,,1.8,
,Illinois/f,"49,348","46,599","2,749",,"48,653","45,737","2,916",,--,,--,,--,
,Indiana/g,"28,822","26,256","2,566",,"29,905","27,070","2,835",,--,,--,,--,
,Iowa,"8,686","7,917",769,,"8,654","7,951",703,,-0.4,,0.4,,-8.6,
,Kansas,"9,398","8,724",674,,"9,506","8,815",691,,1.1,,1,,2.5,
,Kentucky,"21,466","18,919","2,547",,"20,330","18,147","2,183",,-5.3,,-4.1,,-14.3,
,Louisiana,"40,170","37,781","2,389",,"39,298","37,070","2,228",,-2.2,,-1.9,,-6.7,
,Maine,"1,932","1,797",135,,"1,972","1,836",136,,2.1,,2.2,,0.7,
,Maryland,"21,281","20,410",871,,"20,988","20,101",887,,-1.4,,-1.5,,1.8,
,Massachusetts,"9,999","9,567",432,,"9,643","9,200",443,,-3.6,,-3.8,,2.5,
,Michigan,"43,594","41,605","1,989",,"43,704","41,645","2,059",,0.3,,0.1,,3.5,
,Minnesota,"9,938","9,228",710,,"10,289","9,566",723,,3.5,,3.7,,1.8,
,Mississippi,"21,426","19,884","1,542",,"20,742","19,337","1,405",,-3.2,,-2.8,,-8.9,
,Missouri,"31,244","28,541","2,703",,"31,537","28,755","2,782",,0.9,,0.7,,2.9,
,Montana,"3,609","3,210",399,,"3,642","3,230",412,,0.9,,0.6,,3.3,
,Nebraska,"4,594","4,255",339,,"4,929","4,569",360,,7.3,,7.4,,6.2,
,"Nevada/f,h","12,761","11,723","1,038",,"12,915","11,830","1,085",,--,,--,,--,
,New Hampshire,"2,790","2,583",207,,"2,848","2,636",212,,2.1,,2.1,,2.4,
,New Jersey,"23,225","22,164","1,061",,"22,452","21,427","1,025",,-3.3,,-3.3,,-3.4,
,New Mexico,"6,574","5,954",620,,"6,687","6,047",640,,1.7,,1.6,,3.2,
,New York,"54,073","51,846","2,227",,"53,428","51,091","2,337",,-1.2,,-1.5,,4.9,
,North Carolina,"34,983","32,846","2,137",,"35,181","32,942","2,239",,0.6,,0.3,,4.8,
,North Dakota,"1,512","1,341",171,,"1,513","1,356",157,,0.1,,1.1,,-8.2,
,Ohio,"50,876","47,008","3,868",,"51,729","47,579","4,150",,1.7,,1.2,,7.3,
,Oklahoma/g,"24,830","22,369","2,461",,"25,496","22,837","2,659",,--,,--,,--,
,Oregon,"14,801","13,574","1,227",,"15,180","13,895","1,285",,2.6,,2.4,,4.7,
,Pennsylvania,"50,918","48,219","2,699",,"50,083","47,480","2,603",,-1.6,,-1.5,,-3.6,
,Rhode Island/d,"1,999","1,916",83,,"2,039","1,960",79,,2,,2.3,,-4.8,
